test,run,start,minute,stress_min,rds_ohm,package_temp_C,flange_temp_C,drain_current_A,drain_source_V,samples
1,1,2010-02-17T17:45:29.301000,0,0.0,,53.76599,-2279.41251,2.06535,1.77996,0
1,1,2010-02-17T17:45:29.301000,1,1.0,,98.32377,-2279.35779,2.03153,4.78206,0
1,1,2010-02-17T17:45:29.301000,2,2.0,,99.65963,-2279.22917,0.03054,5.57647,0
1,1,2010-02-17T17:45:29.301000,3,3.0,1.78017,151.20118,-2279.09323,2.82092,4.91304,71
1,1,2010-02-17T17:45:29.301000,4,4.0,,139.92219,-2278.91839,2.8083,4.90977,0
1,1,2010-02-17T17:45:29.301000,5,5.0,1.76116,152.38033,-2278.67874,2.78403,4.91574,75
1,1,2010-02-17T17:45:29.301000,6,6.0,1.78521,160.27719,-2278.47803,2.75648,4.92121,150
1,1,2010-02-17T17:45:29.301000,7,7.0,1.72481,162.18131,-2278.3433,2.83903,4.8967,22
1,2,2010-02-18T10:13:14.848000,0,8.0,,98.81212,-2272.56323,3.15235,4.83661,0
1,2,2010-02-18T10:13:14.848000,1,9.0,,99.26955,-2272.51778,2.99067,4.87915,0
1,2,2010-02-18T10:13:14.848000,2,10.0,,99.88944,-2272.4875,0.0252,5.57712,0
1,2,2010-02-18T10:13:14.848000,3,11.0,,99.94764,-2272.47291,0.02406,5.5771,0
1,2,2010-02-18T10:13:14.848000,4,12.0,,99.95695,-2272.48188,0.02339,5.57706,0
1,2,2010-02-18T10:13:14.848000,5,13.0,,99.96302,-2272.52788,0.02322,5.57724,0
1,2,2010-02-18T10:13:14.848000,6,14.0,,99.99176,-2272.55593,0.02324,5.5773,0
1,2,2010-02-18T10:13:14.848000,7,15.0,,100.05312,-2272.58734,0.02289,5.57723,0
1,2,2010-02-18T10:13:14.848000,8,16.0,,159.16523,-2272.52789,2.61919,4.94669,0
1,2,2010-02-18T10:13:14.848000,9,17.0,,151.25509,-2272.49759,2.60207,4.95238,0
1,2,2010-02-18T10:13:14.848000,10,18.0,2.68888,194.38643,-2272.4202,2.60995,7.11747,71
1,2,2010-02-18T10:13:14.848000,11,19.0,2.76276,197.997,-2272.35848,2.56379,7.1863,114
1,2,2010-02-18T10:13:14.848000,12,20.0,2.78932,198.20438,-2272.27885,2.53727,7.18909,112
1,2,2010-02-18T10:13:14.848000,13,21.0,2.85224,198.25473,-2272.21828,2.50762,7.19816,114
1,2,2010-02-18T10:13:14.848000,14,22.0,2.86089,198.08337,-2272.17847,2.49062,7.19562,121
1,2,2010-02-18T10:13:14.848000,15,23.0,2.8602,198.72317,-2272.12295,2.50057,7.19247,111
2,1,2010-02-18T15:30:51.230000,0,0.0,,44.06647,51.91412,0.0479,5.5773,0
2,1,2010-02-18T15:30:51.230000,1,1.0,,35.67286,37.237,0.04726,5.5775,0
2,1,2010-02-18T15:30:51.230000,2,2.0,,40.38274,44.04497,0.04707,5.57753,0
2,1,2010-02-18T15:30:51.230000,3,3.0,,35.17698,35.87928,0.04734,5.57742,0
2,1,2010-02-18T15:30:51.230000,4,4.0,,39.74828,42.99351,0.04756,5.57746,0
2,1,2010-02-18T15:30:51.230000,5,5.0,,34.84963,34.98078,0.04756,5.5776,0
2,1,2010-02-18T15:30:51.230000,6,6.0,,40.46903,43.48328,0.04767,5.57775,0
2,1,2010-02-18T15:30:51.230000,7,7.0,,34.88711,34.90277,0.0478,5.57775,0
2,1,2010-02-18T15:30:51.230000,8,8.0,,40.69245,43.78239,0.04788,5.57766,0
2,1,2010-02-18T15:30:51.230000,9,9.0,,34.97049,34.77896,0.04782,5.57769,0
2,1,2010-02-18T15:30:51.230000,10,10.0,,41.36333,44.49023,0.04773,5.57785,0
2,1,2010-02-18T15:30:51.230000,11,11.0,,34.99558,34.574,0.04773,5.57787,0
2,1,2010-02-18T15:30:51.230000,12,12.0,1.60865,101.62259,149.15993,0.0481,5.57682,5
2,1,2010-02-18T15:30:51.230000,13,13.0,1.51957,103.73101,152.74637,0.0479,5.57728,9
2,1,2010-02-18T15:30:51.230000,14,14.0,1.50359,102.67417,149.52088,0.04775,5.57723,10
2,1,2010-02-18T15:30:51.230000,15,15.0,1.50512,103.1036,145.03245,0.04788,5.57726,8
2,1,2010-02-18T15:30:51.230000,16,16.0,1.48946,104.25765,148.13335,0.04776,5.57746,7
2,1,2010-02-18T15:30:51.230000,17,17.0,1.54867,103.25691,149.96056,0.04831,5.57725,10
2,1,2010-02-18T15:30:51.230000,18,18.0,1.48399,103.00314,142.72255,0.04834,5.57734,7
2,1,2010-02-18T15:30:51.230000,19,19.0,1.53201,104.09754,150.66854,0.04833,5.57749,8
2,2,2010-02-18T16:00:19.536000,0,20.0,,40.6557,41.76386,0.03793,5.57791,0
2,2,2010-02-18T16:00:19.536000,1,21.0,,35.76287,33.06706,0.03778,5.57789,0
2,2,2010-02-18T16:00:19.536000,2,22.0,,34.4487,30.70069,0.03785,5.57796,0
2,2,2010-02-18T16:00:19.536000,3,23.0,1.64603,45.29977,55.81292,0.03755,5.57712,1
2,2,2010-02-18T16:00:19.536000,4,24.0,1.61703,105.22748,147.66336,0.03722,5.57742,2
2,2,2010-02-18T16:00:19.536000,5,25.0,1.5867,102.67223,149.36462,0.0372,5.57724,3
2,2,2010-02-18T16:00:19.536000,6,26.0,1.56532,104.55181,145.52164,0.03574,5.57755,2
2,2,2010-02-18T16:00:19.536000,7,27.0,1.53108,104.17363,147.79015,0.03563,5.5777,1
2,3,2010-02-18T16:25:54.248000,0,28.0,,43.70917,48.32284,0.04771,5.57795,0
2,3,2010-02-18T16:25:54.248000,1,29.0,,35.37263,33.8746,0.04775,5.57812,0
2,3,2010-02-18T16:25:54.248000,2,30.0,,41.25875,44.02136,0.04768,5.57807,0
2,3,2010-02-18T16:25:54.248000,3,31.0,,35.07215,33.3841,0.04762,5.57804,0
2,3,2010-02-18T16:25:54.248000,4,32.0,,41.24515,44.07588,0.04758,5.57825,0
2,3,2010-02-18T16:25:54.248000,5,33.0,,35.12267,33.49532,0.04737,5.57813,0
2,3,2010-02-18T16:25:54.248000,6,34.0,,41.25891,44.14983,0.04762,5.57798,0
