batch_id,batch_date,component_id,serial,socket,hour,leakage_nA,vth_V,rds_on_mOhm,gate_leak_nA
LOT-2601,2026-07-06,C-001,SN260100001,A1,0,34.19,3.0801,202.71,2.218
LOT-2601,2026-07-06,C-001,SN260100001,A1,24,38.94,3.0725,203.69,2.47
LOT-2601,2026-07-06,C-001,SN260100001,A1,96,37.86,3.0524,204.26,2.515
LOT-2601,2026-07-06,C-001,SN260100001,A1,168,39.59,3.0395,204.8,2.698
LOT-2601,2026-07-06,C-002,SN260100002,A2,0,31.9,3.0282,210.08,1.47
LOT-2601,2026-07-06,C-002,SN260100002,A2,24,34.01,3.0171,210.43,1.535
LOT-2601,2026-07-06,C-002,SN260100002,A2,96,35.76,2.99,212.0,1.554
LOT-2601,2026-07-06,C-002,SN260100002,A2,168,34.6,2.9771,212.77,1.565
LOT-2601,2026-07-06,C-003,SN260100003,A3,0,54.93,3.041,203.27,3.386
LOT-2601,2026-07-06,C-003,SN260100003,A3,24,60.57,3.0411,204.42,3.717
LOT-2601,2026-07-06,C-003,SN260100003,A3,96,67.47,3.0402,204.72,3.874
LOT-2601,2026-07-06,C-003,SN260100003,A3,168,69.81,3.0372,205.43,3.99
LOT-2601,2026-07-06,C-004,SN260100004,A4,0,33.35,3.0548,205.85,5.188
LOT-2601,2026-07-06,C-004,SN260100004,A4,24,35.27,3.0409,206.66,5.351
LOT-2601,2026-07-06,C-004,SN260100004,A4,96,36.39,3.0337,207.48,5.488
LOT-2601,2026-07-06,C-004,SN260100004,A4,168,37.21,3.0233,207.44,5.625
LOT-2601,2026-07-06,C-005,SN260100005,A5,0,44.92,3.0266,191.32,2.282
LOT-2601,2026-07-06,C-005,SN260100005,A5,24,48.23,3.0068,193.18,2.318
LOT-2601,2026-07-06,C-005,SN260100005,A5,96,49.05,2.9826,195.08,2.517
LOT-2601,2026-07-06,C-005,SN260100005,A5,168,48.75,2.9799,196.28,2.684
LOT-2601,2026-07-06,C-006,SN260100006,A6,0,48.57,2.9492,205.74,2.686
LOT-2601,2026-07-06,C-006,SN260100006,A6,24,50.54,2.9292,205.34,2.708
LOT-2601,2026-07-06,C-006,SN260100006,A6,96,51.98,2.894,205.42,2.768
LOT-2601,2026-07-06,C-006,SN260100006,A6,168,55.84,2.8782,204.8,2.858
LOT-2601,2026-07-06,C-007,SN260100007,A7,0,63.25,3.019,209.49,1.89
LOT-2601,2026-07-06,C-007,SN260100007,A7,24,64.05,3.0098,210.42,2.075
LOT-2601,2026-07-06,C-007,SN260100007,A7,96,72.33,3.0113,211.82,2.202
LOT-2601,2026-07-06,C-007,SN260100007,A7,168,76.22,3.0101,212.08,2.297
LOT-2601,2026-07-06,C-008,SN260100008,A8,0,46.2,2.9844,202.81,2.229
LOT-2601,2026-07-06,C-008,SN260100008,A8,24,48.83,2.9718,202.87,2.287
LOT-2601,2026-07-06,C-008,SN260100008,A8,96,49.25,2.9565,204.83,2.373
LOT-2601,2026-07-06,C-008,SN260100008,A8,168,51.34,2.9455,205.35,2.489
LOT-2601,2026-07-06,C-009,SN260100009,B1,0,34.17,2.988,213.28,2.803
LOT-2601,2026-07-06,C-009,SN260100009,B1,24,37.05,2.9806,213.82,2.847
LOT-2601,2026-07-06,C-009,SN260100009,B1,96,40.46,2.9693,213.35,3.055
LOT-2601,2026-07-06,C-009,SN260100009,B1,168,41.86,2.9624,213.48,3.208
LOT-2601,2026-07-06,C-010,SN260100010,B2,0,48.84,2.9882,204.24,1.909
LOT-2601,2026-07-06,C-010,SN260100010,B2,24,54.18,2.9614,204.78,1.977
LOT-2601,2026-07-06,C-010,SN260100010,B2,96,61.36,2.9397,205.1,2.01
LOT-2601,2026-07-06,C-010,SN260100010,B2,168,63.41,2.9311,206.15,2.011
LOT-2601,2026-07-06,C-011,SN260100011,B3,0,50.62,3.0126,206.48,2.625
LOT-2601,2026-07-06,C-011,SN260100011,B3,24,50.03,2.998,207.56,2.867
LOT-2601,2026-07-06,C-011,SN260100011,B3,96,53.93,2.9864,208.76,2.909
LOT-2601,2026-07-06,C-011,SN260100011,B3,168,53.54,2.9851,208.44,3.121
LOT-2601,2026-07-06,C-012,SN260100012,B4,0,62.85,2.9082,195.09,1.856
LOT-2601,2026-07-06,C-012,SN260100012,B4,24,68.36,2.8995,195.16,1.978
LOT-2601,2026-07-06,C-012,SN260100012,B4,96,78.45,2.8705,196.91,1.939
LOT-2601,2026-07-06,C-012,SN260100012,B4,168,85.03,2.8686,197.53,2.108
LOT-2601,2026-07-06,C-013,SN260100013,B5,0,48.93,3.1088,197.61,3.319
LOT-2601,2026-07-06,C-013,SN260100013,B5,24,51.65,3.1152,199.55,3.396
LOT-2601,2026-07-06,C-013,SN260100013,B5,96,59.79,3.1226,200.38,3.741
LOT-2601,2026-07-06,C-013,SN260100013,B5,168,63.02,3.1322,201.31,4.18
LOT-2601,2026-07-06,C-014,SN260100014,B6,0,43.49,3.0308,203.11,3.876
LOT-2601,2026-07-06,C-014,SN260100014,B6,24,46.48,3.019,204.04,4.136
LOT-2601,2026-07-06,C-014,SN260100014,B6,96,340.03,3.0094,205.56,4.409
LOT-2601,2026-07-06,C-014,SN260100014,B6,168,352.52,2.9959,206.22,4.48
LOT-2601,2026-07-06,C-015,SN260100015,B7,0,46.6,2.928,205.42,3.022
LOT-2601,2026-07-06,C-015,SN260100015,B7,24,50.08,2.9047,207.29,3.441
LOT-2601,2026-07-06,C-015,SN260100015,B7,96,52.55,2.8835,207.75,3.791
LOT-2601,2026-07-06,C-015,SN260100015,B7,168,53.34,2.8657,208.78,4.229
LOT-2601,2026-07-06,C-016,SN260100016,B8,0,57.23,2.9119,205.99,2.671
LOT-2601,2026-07-06,C-016,SN260100016,B8,24,64.82,2.8996,207.74,2.854
LOT-2601,2026-07-06,C-016,SN260100016,B8,96,68.54,2.906,210.18,3.102
LOT-2601,2026-07-06,C-016,SN260100016,B8,168,69.54,2.8942,211.87,3.252
LOT-2601,2026-07-06,C-017,SN260100017,C1,0,49.11,3.1054,210.06,4.024
LOT-2601,2026-07-06,C-017,SN260100017,C1,24,52.08,3.1072,210.38,4.279
LOT-2601,2026-07-06,C-017,SN260100017,C1,96,58.4,3.098,212.29,4.624
LOT-2601,2026-07-06,C-017,SN260100017,C1,168,63.1,3.1146,213.35,5.406
LOT-2601,2026-07-06,C-018,SN260100018,C2,0,42.08,3.0082,204.71,2.987
LOT-2601,2026-07-06,C-018,SN260100018,C2,24,43.8,3.0091,205.48,2.78
LOT-2601,2026-07-06,C-018,SN260100018,C2,96,43.4,2.9976,208.04,2.947
LOT-2601,2026-07-06,C-018,SN260100018,C2,168,45.44,2.989,209.51,3.178
LOT-2601,2026-07-06,C-019,SN260100019,C3,0,39.65,3.0892,196.97,1.782
LOT-2601,2026-07-06,C-019,SN260100019,C3,24,42.91,3.0886,197.24,1.971
LOT-2601,2026-07-06,C-019,SN260100019,C3,96,45.52,3.0861,198.85,2.086
LOT-2601,2026-07-06,C-019,SN260100019,C3,168,48.38,3.0793,200.42,2.376
LOT-2601,2026-07-06,C-020,SN260100020,C4,0,69.68,2.9007,200.78,1.23
LOT-2601,2026-07-06,C-020,SN260100020,C4,24,72.24,2.8823,200.91,1.222
LOT-2601,2026-07-06,C-020,SN260100020,C4,96,77.22,2.8669,202.2,1.267
LOT-2601,2026-07-06,C-020,SN260100020,C4,168,82.67,2.8535,203.06,1.291
LOT-2601,2026-07-06,C-021,SN260100021,C5,0,65.94,2.9491,201.16,3.013
LOT-2601,2026-07-06,C-021,SN260100021,C5,24,70.31,2.9512,202.7,3.516
LOT-2601,2026-07-06,C-021,SN260100021,C5,96,75.88,2.9491,203.99,3.562
LOT-2601,2026-07-06,C-021,SN260100021,C5,168,79.51,2.9486,204.43,3.955
LOT-2601,2026-07-06,C-022,SN260100022,C6,0,47.75,2.8761,210.7,2.482
LOT-2601,2026-07-06,C-022,SN260100022,C6,24,49.67,2.8686,211.03,2.474
LOT-2601,2026-07-06,C-022,SN260100022,C6,96,56.46,2.8703,212.65,2.615
LOT-2601,2026-07-06,C-022,SN260100022,C6,168,57.11,2.8713,212.19,2.881
LOT-2601,2026-07-06,C-023,SN260100023,C7,0,61.42,3.0932,200.13,1.683
LOT-2601,2026-07-06,C-023,SN260100023,C7,24,68.86,3.0823,199.67,1.677
LOT-2601,2026-07-06,C-023,SN260100023,C7,96,75.95,3.0695,200.74,1.563
LOT-2601,2026-07-06,C-023,SN260100023,C7,168,83.08,3.0497,199.76,1.471
LOT-2601,2026-07-06,C-024,SN260100024,C8,0,57.48,3.0435,200.89,2.357
LOT-2601,2026-07-06,C-024,SN260100024,C8,24,61.62,3.0343,201.01,2.257
LOT-2601,2026-07-06,C-024,SN260100024,C8,96,64.47,3.0292,202.56,2.22
LOT-2601,2026-07-06,C-024,SN260100024,C8,168,66.49,3.0273,202.67,2.365
LOT-2601,2026-07-06,C-025,SN260100025,D1,0,69.55,3.0417,219.53,2.042
LOT-2601,2026-07-06,C-025,SN260100025,D1,24,78.32,3.041,219.66,2.278
LOT-2601,2026-07-06,C-025,SN260100025,D1,96,85.47,3.0247,220.44,2.196
LOT-2601,2026-07-06,C-025,SN260100025,D1,168,87.76,3.024,221.7,2.429
LOT-2601,2026-07-06,C-026,SN260100026,D2,0,61.79,2.9858,203.86,3.751
LOT-2601,2026-07-06,C-026,SN260100026,D2,24,60.66,2.9746,203.71,3.705
LOT-2601,2026-07-06,C-026,SN260100026,D2,96,65.02,2.9647,204.47,3.612
LOT-2601,2026-07-06,C-026,SN260100026,D2,168,68.76,2.9668,204.79,3.747
LOT-2601,2026-07-06,C-027,SN260100027,D3,0,56.44,2.993,199.76,3.718
LOT-2601,2026-07-06,C-027,SN260100027,D3,24,59.5,2.9702,200.54,3.803
LOT-2601,2026-07-06,C-027,SN260100027,D3,96,60.69,2.9489,202.09,3.809
LOT-2601,2026-07-06,C-027,SN260100027,D3,168,64.1,2.9319,200.97,3.517
LOT-2601,2026-07-06,C-028,SN260100028,D4,0,25.17,2.9774,208.94,2.363
LOT-2601,2026-07-06,C-028,SN260100028,D4,24,26.27,2.9602,208.14,2.554
LOT-2601,2026-07-06,C-028,SN260100028,D4,96,28.08,2.9365,209.41,2.652
LOT-2601,2026-07-06,C-028,SN260100028,D4,168,30.76,2.9228,208.49,3.082
LOT-2601,2026-07-06,C-029,SN260100029,D5,0,232.0,3.0227,201.47,3.052
LOT-2601,2026-07-06,C-029,SN260100029,D5,24,340.41,3.0099,202.17,3.224
LOT-2601,2026-07-06,C-029,SN260100029,D5,96,504.73,3.0016,203.39,3.577
LOT-2601,2026-07-06,C-029,SN260100029,D5,168,652.56,2.996,204.43,3.436
LOT-2601,2026-07-06,C-030,SN260100030,D6,0,53.05,3.0458,211.24,3.298
LOT-2601,2026-07-06,C-030,SN260100030,D6,24,55.44,3.0187,212.49,3.594
LOT-2601,2026-07-06,C-030,SN260100030,D6,96,55.88,2.9887,213.23,3.916
LOT-2601,2026-07-06,C-030,SN260100030,D6,168,59.62,2.9794,213.8,4.287
LOT-2601,2026-07-06,C-031,SN260100031,D7,0,30.03,2.9969,194.54,1.836
LOT-2601,2026-07-06,C-031,SN260100031,D7,24,33.96,2.9908,195.69,1.882
LOT-2601,2026-07-06,C-031,SN260100031,D7,96,34.55,2.9731,197.38,2.036
LOT-2601,2026-07-06,C-031,SN260100031,D7,168,36.14,2.9818,197.55,2.068
LOT-2601,2026-07-06,C-032,SN260100032,D8,0,53.56,2.9025,202.9,2.428
LOT-2601,2026-07-06,C-032,SN260100032,D8,24,59.63,2.8933,204.08,2.711
LOT-2601,2026-07-06,C-032,SN260100032,D8,96,68.73,2.4995,204.83,2.867
LOT-2601,2026-07-06,C-032,SN260100032,D8,168,69.67,2.4989,206.19,3.05
LOT-2601,2026-07-06,C-033,SN260100033,E1,0,51.76,3.0222,207.9,2.231
LOT-2601,2026-07-06,C-033,SN260100033,E1,24,55.22,3.0252,207.85,2.361
LOT-2601,2026-07-06,C-033,SN260100033,E1,96,58.07,3.0208,207.89,2.788
LOT-2601,2026-07-06,C-033,SN260100033,E1,168,58.38,3.0315,207.56,3.055
